name,bus0,bus1,length,r,x,s_nom,num_parallel,kind,type_info
Branch_LVCableDist_mvgd_2338_lvgd_461980_24_Load_mvgd_2338_lvgd_461980_12,BranchTee_mvgd_2338_lvgd_461980_24,Bus_mvgd_2338_lvgd_461980_loa_12,0.001,0.000449,8.482300164692443e-05,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_25_LVCableDist_mvgd_2338_lvgd_461980_26,BranchTee_mvgd_2338_lvgd_461980_25,BranchTee_mvgd_2338_lvgd_461980_26,0.018,0.008081999999999999,0.0015268140296446396,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_25_LVCableDist_mvgd_2338_lvgd_461980_27,BranchTee_mvgd_2338_lvgd_461980_25,BranchTee_mvgd_2338_lvgd_461980_27,0.05,0.0103,0.004021238596594936,0.1905255888325765,1,cable,NAYY 4x1x150
Branch_LVCableDist_mvgd_2338_lvgd_461980_26_Load_mvgd_2338_lvgd_461980_13,BranchTee_mvgd_2338_lvgd_461980_26,Bus_mvgd_2338_lvgd_461980_loa_13,0.001,0.000449,8.482300164692443e-05,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_27_LVCableDist_mvgd_2338_lvgd_461980_28,BranchTee_mvgd_2338_lvgd_461980_27,BranchTee_mvgd_2338_lvgd_461980_28,0.033,0.014817,0.002799159054348506,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_27_LVCableDist_mvgd_2338_lvgd_461980_29,BranchTee_mvgd_2338_lvgd_461980_27,BranchTee_mvgd_2338_lvgd_461980_29,0.05,0.0103,0.004021238596594936,0.1905255888325765,1,cable,NAYY 4x1x150
Branch_LVCableDist_mvgd_2338_lvgd_461980_28_Load_mvgd_2338_lvgd_461980_14,BranchTee_mvgd_2338_lvgd_461980_28,Bus_mvgd_2338_lvgd_461980_loa_14,0.001,0.000449,8.482300164692443e-05,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_29_LVCableDist_mvgd_2338_lvgd_461980_30,BranchTee_mvgd_2338_lvgd_461980_29,BranchTee_mvgd_2338_lvgd_461980_30,0.018,0.008081999999999999,0.0015268140296446396,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_29_LVCableDist_mvgd_2338_lvgd_461980_31,BranchTee_mvgd_2338_lvgd_461980_29,BranchTee_mvgd_2338_lvgd_461980_31,0.05,0.0103,0.004021238596594936,0.1905255888325765,1,cable,NAYY 4x1x150
Branch_LVCableDist_mvgd_2338_lvgd_461980_2_Load_mvgd_2338_lvgd_461980_1,BranchTee_mvgd_2338_lvgd_461980_2,Bus_mvgd_2338_lvgd_461980_loa_1,0.001,0.000449,8.482300164692443e-05,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_30_Load_mvgd_2338_lvgd_461980_15,BranchTee_mvgd_2338_lvgd_461980_30,Bus_mvgd_2338_lvgd_461980_loa_15,0.001,0.000449,8.482300164692443e-05,0.09976612651596732,1,cable,NAYY 4x1x50
Branch_LVCableDist_mvgd_2338_lvgd_461980_31_LVCableDist_mvgd_2338_lvgd_461980_32,BranchTee_mvgd_2338_lvgd_461980_31,BranchTee_mvgd_2338_lvgd_461980_32,0.033,0.014817,0.002799159054348506,0.09976612651596732,1,cable,NAYY 4x1x50
